reférence,nom de l’article,partie du vêtement,produits de coloration,pourcentage de la matière
200000,chemise en popeline,extérieur,colorants au chrome,100%
200001,chemise en popeline,extérieur,colorants au chrome,100%
200002,blouse métallique hilo,extérieur,colorants acides,62%
200002,blouse métallique hilo,extérieur,colorants metallifères,37%
200002,blouse métallique hilo,extérieur,colorants azoïques,1%
200003,blouse en satin alamares,extérieur,colorants acides,100%
200004,blouse courte imprimé,extérieur,colorants dispersés,100%
200005,blouse courte imprimé,extérieur,colorants dispersés,100%
200006,blouse imprimé velours,doublure,colorants dispersés,100%
200007,blouse en satin imprimé,extérieur,colorants dispersés,100%
200008,blouse à poche en colorants réactifs,extérieur,colorants réactifs,100%
200009,blouse à poche en colorants réactifs,extérieur,colorants réactifs,100%
200010,blouse à poche en colorants réactifs,extérieur,colorants réactifs,100%
200011,blouse en satin avec poches,extérieur,colorants acides,100%
200012,blouse en satin avec poches,extérieur,colorants acides,100%
200013,blouse en satin avec poches,extérieur,colorants acides,100%
200014,blouse en satin imprimé,extérieur,colorants dispersés,100%
200015,blouse courte à nœud,extérieur,colorants acides,100%
200016,blouse courte à nœud,extérieur,colorants acides,100%
200017,chemise en popeline,extérieur,colorants au chrome,100%
200018,chemise en popeline,extérieur,colorants au chrome,100%
200019,blouse jacquard,extérieur,colorants acides,52%
200019,blouse jacquard,extérieur,colorants dispersés,42%
200019,blouse jacquard,extérieur,colorants azoïques,6%
200020,blouse fluide à volants,extérieur,colorants dispersés,100%
200021,chemise en popeline,extérieur,colorants au chrome,100%
200022,chemise satinée,extérieur,colorants dispersés,100%
200023,blouse imprimé avec ceinture,extérieur,colorants dispersés,100%
200024,blouse courte imprimé,extérieur,colorants dispersés,100%
200024,blouse courte imprimé,doublure,colorants dispersés,100%
200026,chemise satinée,extérieur,colorants dispersés,100%
200027,chemise satinée,extérieur,colorants dispersés,100%
200028,chemise satinée,extérieur,colorants dispersés,100%
200029,chemise satinée,extérieur,colorants dispersés,100%
200030,chemise satinée,extérieur,colorants dispersés,100%
200031,chemise satinée,extérieur,colorants dispersés,100%
200032,blouse longue imprimé animal,extérieur,colorants dispersés,100%
200033,blouse fluide avec poches,extérieur,colorants réactifs,97%
200033,blouse fluide avec poches,extérieur,colorants dispersés,3%
200034,blouse longue bas doré,extérieur,colorants réactifs,79%
200034,blouse longue bas doré,extérieur,colorants acides,18%
200034,blouse longue bas doré,extérieur,colorants azoïques,3%
200035,blouse satin nœud,extérieur,colorants acides,100%
200037,blouse nœud,extérieur,colorants dispersés,100%
200039,blouse à pois,extérieur,colorants réactifs,74%
200039,blouse à pois,extérieur,colorants dispersés,26%
200040,corps à manches drappées,extérieur,colorants dispersés,100%
200041,blouse courte à nœud,extérieur,colorants acides,100%
200042,blouse à nœud imprimé ,extérieur,colorants dispersés,97%
200042,blouse à nœud imprimé ,extérieur,colorants azoïques,3%
200043,chemise satinée,extérieur,colorants dispersés,100%
200044,blouse longue imprimé animal,extérieur,colorants dispersés,100%
200045,blouse jacquard volants,extérieur,colorants acides,55%
200045,blouse jacquard volants,extérieur,colorants dispersés,40%
200045,blouse jacquard volants,extérieur,colorants azoïques,5%
200046,chemise en popeline,extérieur,colorants au chrome,100%
200047,blouse effet métallique ,extérieur,colorants dispersés,53%
200047,blouse effet métallique ,extérieur,colorants metallifères,47%
200048,blouse nœud,extérieur,colorants dispersés,100%
200049,chemisier structuré,extérieur,colorants acides,77%
200049,chemisier structuré,extérieur,colorants réactifs,19%
200049,chemisier structuré,extérieur,colorants acides,4%
200050,blouse plissées à nœud,extérieur,colorants dispersés,100%
200051,blouse courte imprimé,extérieur,colorants dispersés,100%
200052,blouse fluide avec poches,extérieur,colorants réactifs,97%
200052,blouse fluide avec poches,extérieur,colorants dispersés,3%
200053,chemise en popeline,extérieur,colorants au chrome,100%
200055,blouse en satin aves épaules,extérieur,colorants acides,100%
200056,body en satin croisé,extérieur,colorants dispersés,100%
200057,blouse jacquard,extérieur,colorants acides,100%
200058,blouse courte imprimé,extérieur,colorants dispersés,100%
200059,blouse courte imprimé,extérieur,colorants dispersés,100%
100000,robe imprimée,extérieur,colorants acides,100%
100001,robe en dentelle combinée,extérieur,colorants réactifs,97%
100001,robe en dentelle combinée,extérieur,colorants dispersés,3%
100002,robe longue imprimée,extérieur,colorants dispersés,100%
100002,robe longue imprimée,doublure,colorants dispersés,100%
100003,robe midi imprimée,extérieur,colorants acides,100%
100004,robe midi dentelle,extérieur,colorants acides,100%
100006,robe midi avec ceinture,extérieur,colorants dispersés,100%
100007,robe imprimée alamares,extérieur,colorants dispersés,100%
100008,robe en maille,extérieur,colorants acides,58%
100008,robe en maille,extérieur,colorants dispersés,30%
100008,robe en maille,extérieur,colorants dispersés,12%
100009,robe imprimée fleuri,extérieur,colorants acides,100%
100011,robe midi satinée,extérieur,colorants acides,100%
100013,robe en maille perle,extérieur,colorants acides,59%
100013,robe en maille perle,extérieur,colorants dispersés,30%
100013,robe en maille perle,extérieur,colorants dispersés,11%
100014,robe taille satinée,extérieur,colorants dispersés,100%
100015,robe imprimée laçée,extérieur,colorants acides,100%
100017,robe jacquard,extérieur,colorants acides,100%
100018,robe imprimée volume,extérieur,colorants dispersés,100%
100018,robe imprimée volume,doublure,colorants dispersés,100%
100019,robe fluide avec épaulettes,extérieur,colorants dispersés,100%
100019,robe fluide avec épaulettes,doublure,colorants dispersés,100%
100021,mini robe avec ouverture,extérieur,colorants dispersés,100%
100022,robe volume,extérieur,colorants au chrome,100%
100024,robe à épaulette,extérieur,colorants au chrome,100%
100025,robe fluide,extérieur,colorants réactifs,100%
100026,robe drapée,extérieur,colorants dispersés,71%
100026,robe drapée,extérieur,colorants acides,23%
100026,robe drapée,extérieur,colorants azoïques,6%
100027,robe imprimée animal,extérieur,colorants acides,100%
100028,robe lingérie froncée,extérieur,colorants acides,100%
100029,robe mini imprimée,extérieur,colorants dispersés,100%
100029,robe mini imprimée,doublure,colorants acides,100%
100030,Robe en fil métallique ,extérieur,colorants acides,60%
100030,Robe en fil métallique ,extérieur,colorants dispersés,37%
100030,Robe en fil métallique ,extérieur,colorants metallifères,3%
100030,Robe en fil métallique ,doublure,colorants dispersés,100%
100031,robe imprimée animal,extérieur,colorants dispersés,100%
100031,robe imprimée animal,doublure,colorants dispersés,100%
100032,chemise habillée,extérieur,colorants au chrome,59%
100032,chemise habillée,extérieur,colorants acides,35%
100032,chemise habillée,extérieur,colorants azoïques,6%
100032,chemise habillée,doublure,colorants dispersés,100%
100033,robe mini à pois,extérieur,colorants dispersés,100%
100034,robe jacquard ceinture,extérieur,colorants dispersés,100%
100035,robe lingerie froncée,extérieur,colorants acides,100%
100036,robe rembourrée jacquardaux épaules ,extérieur,colorants dispersés,54%
100036,robe rembourrée jacquardaux épaules ,extérieur,colorants au chrome,45%
100036,robe rembourrée jacquardaux épaules ,extérieur,colorants azoïques,1%
100037,robe fluide,extérieur,colorants dispersés,100%
100037,robe fluide,doublure,colorants dispersés,100%
100038,robe drapée imprimée,extérieur,colorants acides,100%
100039,robe longue imprimée animal,extérieur,colorants dispersés,100%
100039,robe longue imprimée animal,doublure,colorants dispersés,100%
100040,robe imprimée,extérieur,colorants acides,100%
100041,robe structurée,extérieur,colorants dispersés,99%
100041,robe structurée,extérieur,colorants azoïques,1%
100042,robe à bouton,extérieur,colorants réactifs,100%
100043,robe mini plumeti,doublure,colorants dispersés,100%
100044,robe midi imprimée,extérieur,colorants acides,100%
100045,robe fluide drapée,extérieur,colorants dispersés,100%
100045,robe fluide drapée,doublure,colorants dispersés,100%
100046,robe mini imprimée,extérieur,colorants acides,100%
100047,robe rembourrée jacquardaux épaules ,extérieur,colorants dispersés,54%
100047,robe rembourrée jacquardaux épaules ,extérieur,colorants au chrome,45%
100047,robe rembourrée jacquardaux épaules ,extérieur,colorants azoïques,1%
100048,robe en fronce,extérieur,colorants au chrome,100%
100050,robe à épaulette,extérieur,colorants dispersés,100%
100051,vêtement ajusté,extérieur,colorants au chrome,53%
100051,vêtement ajusté,extérieur,colorants dispersés,44%
