reférence,nom de l’article,partie du vêtement,matière,pourcentage de la matière
200000,chemise en popeline,extérieur,coton,100%
200001,chemise en popeline,extérieur,coton,100%
200002,blouse métallique hilo,extérieur, viscose,62%
200002,blouse métallique hilo,extérieur,fibre métallique,37%
200002,blouse métallique hilo,extérieur,élasthanne,1%
200003,blouse en satin alamares,extérieur, viscose,100%
200004,blouse courte imprimé,extérieur,polyester,100%
200005,blouse courte imprimé,extérieur,polyester,100%
200006,blouse imprimé velours,doublure,polyester,100%
200007,blouse en satin imprimé,extérieur,polyester,100%
200008,blouse à poche en lin,extérieur,lin,100%
200009,blouse à poche en lin,extérieur,lin,100%
200010,blouse à poche en lin,extérieur,lin,100%
200011,blouse en satin avec poches,extérieur, viscose,100%
200012,blouse en satin avec poches,extérieur, viscose,100%
200013,blouse en satin avec poches,extérieur, viscose,100%
200014,blouse en satin imprimé,extérieur,polyester,100%
200015,blouse courte à nœud,extérieur, viscose,100%
200016,blouse courte à nœud,extérieur, viscose,100%
200017,chemise en popeline,extérieur,coton,100%
200018,chemise en popeline,extérieur,coton,100%
200019,blouse jacquard,extérieur, viscose,52%
200019,blouse jacquard,extérieur,polyester,42%
200019,blouse jacquard,extérieur,élasthanne,6%
200020,blouse fluide à volants,extérieur,polyester,100%
200021,chemise en popeline,extérieur,coton,100%
200022,chemise satinée,extérieur,polyester,100%
200023,blouse imprimé avec ceinture,extérieur,polyester,100%
200024,blouse courte imprimé,extérieur,polyester,100%
200024,blouse courte imprimé,doublure,polyester,100%
200026,chemise satinée,extérieur,polyester,100%
200027,chemise satinée,extérieur,polyester,100%
200028,chemise satinée,extérieur,polyester,100%
200029,chemise satinée,extérieur,polyester,100%
200030,chemise satinée,extérieur,polyester,100%
200031,chemise satinée,extérieur,polyester,100%
200032,blouse longue imprimé animal,extérieur,polyester,100%
200033,blouse fluide avec poches,extérieur,lyocell,97%
200033,blouse fluide avec poches,extérieur,polyester,3%
200034,blouse longue bas doré,extérieur,lyocell,79%
200034,blouse longue bas doré,extérieur,polyamide,18%
200034,blouse longue bas doré,extérieur,élasthanne,3%
200035,blouse satin nœud,extérieur, viscose,100%
200037,blouse nœud,extérieur,polyester,100%
200039,blouse à pois,extérieur,lyocell,74%
200039,blouse à pois,extérieur,nylon,26%
200040,corps à manches drappées,extérieur,polyester,100%
200041,blouse courte à nœud,extérieur, viscose,100%
200042,blouse à nœud imprimé ,extérieur,polyester,97%
200042,blouse à nœud imprimé ,extérieur,élasthanne,3%
200043,chemise satinée,extérieur,polyester,100%
200044,blouse longue imprimé animal,extérieur,polyester,100%
200045,blouse jacquard volants,extérieur, viscose,55%
200045,blouse jacquard volants,extérieur,polyester,40%
200045,blouse jacquard volants,extérieur,élasthanne,5%
200046,chemise en popeline,extérieur,coton,100%
200047,blouse effet métallique ,extérieur,polyester,53%
200047,blouse effet métallique ,extérieur,fibre métallique,47%
200048,blouse nœud,extérieur,polyester,100%
200049,chemisier structuré,extérieur, viscose,77%
200049,chemisier structuré,extérieur,laine,19%
200049,chemisier structuré,extérieur,polyamide,4%
200050,blouse plissées à nœud,extérieur,polyester,100%
200051,blouse courte imprimé,extérieur,polyester,100%
200052,blouse fluide avec poches,extérieur,lyocell,97%
200052,blouse fluide avec poches,extérieur,polyester,3%
200053,chemise en popeline,extérieur,coton,100%
200055,blouse en satin aves épaules,extérieur, viscose,100%
200056,body en satin croisé,extérieur,polyester,100%
200057,blouse jacquard,extérieur, viscose,100%
200058,blouse courte imprimé,extérieur,polyester,100%
200059,blouse courte imprimé,extérieur,polyester,100%
100000,robe imprimée,extérieur, viscose,100%
100001,robe en dentelle combinée,extérieur,lyocell,97%
100001,robe en dentelle combinée,extérieur,polyester,3%
100002,robe longue imprimée,extérieur,polyester,100%
100002,robe longue imprimée,doublure,polyester,100%
100003,robe midi imprimée,extérieur, viscose,100%
100004,robe midi dentelle,extérieur, viscose,100%
100006,robe midi avec ceinture,extérieur,polyester,100%
100007,robe imprimée alamares,extérieur,polyester,100%
100008,robe en maille,extérieur,acrylique,58%
100008,robe en maille,extérieur,polyester,30%
100008,robe en maille,extérieur,nylon,12%
100009,robe imprimée fleuri,extérieur, viscose,100%
100011,robe midi satinée,extérieur, viscose,100%
100013,robe en maille perle,extérieur,acrylique,59%
100013,robe en maille perle,extérieur,polyester,30%
100013,robe en maille perle,extérieur,nylon,11%
100014,robe taille satinée,extérieur,polyester,100%
100015,robe imprimée laçée,extérieur, viscose,100%
100017,robe jacquard,extérieur, viscose,100%
100018,robe imprimée volume,extérieur,polyester,100%
100018,robe imprimée volume,doublure,polyester,100%
100019,robe fluide avec épaulettes,extérieur,polyester,100%
100019,robe fluide avec épaulettes,doublure,polyester,100%
100021,mini robe avec ouverture,extérieur,polyester,100%
100022,robe volume,extérieur,coton,100%
100024,robe à épaulette,extérieur,coton,100%
100025,robe fluide,extérieur,lyocell,100%
100026,robe drapée,extérieur,polyester,71%
100026,robe drapée,extérieur, viscose,23%
100026,robe drapée,extérieur,élasthanne,6%
100027,robe imprimée animal,extérieur, viscose,100%
100028,robe lingérie froncée,extérieur, viscose,100%
100029,robe mini imprimée,extérieur,polyester,100%
100029,robe mini imprimée,doublure, viscose,100%
100030,Robe en fil métallique ,extérieur, viscose,60%
100030,Robe en fil métallique ,extérieur,polyester,37%
100030,Robe en fil métallique ,extérieur,fibre métallique,3%
100030,Robe en fil métallique ,doublure,polyester,100%
100031,robe imprimée animal,extérieur,polyester,100%
100031,robe imprimée animal,doublure,polyester,100%
100032,chemise habillée,extérieur,coton,59%
100032,chemise habillée,extérieur,polyamide,35%
100032,chemise habillée,extérieur,élasthanne,6%
100032,chemise habillée,doublure,polyester,100%
100033,robe mini à pois,extérieur,polyester,100%
100034,robe jacquard ceinture,extérieur,polyester,100%
100035,robe lingerie froncée,extérieur, viscose,100%
100036,robe rembourrée jacquardaux épaules ,extérieur,polyester,54%
100036,robe rembourrée jacquardaux épaules ,extérieur,coton,45%
100036,robe rembourrée jacquardaux épaules ,extérieur,élasthanne,1%
100037,robe fluide,extérieur,polyester,100%
100037,robe fluide,doublure,polyester,100%
100038,robe drapée imprimée,extérieur, viscose,100%
100039,robe longue imprimée animal,extérieur,polyester,100%
100039,robe longue imprimée animal,doublure,polyester,100%
100040,robe imprimée,extérieur, viscose,100%
100041,robe structurée,extérieur,polyester,99%
100041,robe structurée,extérieur,élasthanne,1%
100042,robe à bouton,extérieur,lyocell,100%
100043,robe mini plumeti,doublure,polyester,100%
100044,robe midi imprimée,extérieur, viscose,100%
100045,robe fluide drapée,extérieur,polyester,100%
100045,robe fluide drapée,doublure,polyester,100%
100046,robe mini imprimée,extérieur, viscose,100%
100047,robe rembourrée jacquardaux épaules ,extérieur,polyester,54%
100047,robe rembourrée jacquardaux épaules ,extérieur,coton,45%
100047,robe rembourrée jacquardaux épaules ,extérieur,élasthanne,1%
100048,robe en fronce,extérieur,coton,100%
100050,robe à épaulette,extérieur,polyester,100%
100051,vêtement ajusté,extérieur,coton,53%
100051,vêtement ajusté,extérieur,polyester,44%
100051,vêtement ajusté,extérieur,élasthanne,3%
100052,robe imprimée,extérieur,polyester,100%
100053,robe côtelée,extérieur,coton,96%
100053,robe côtelée,extérieur,élasthanne,4%
100054,chemise habillée imprimée,extérieur, viscose,100%
100055,robe en velours,extérieur,polyester,92%
100055,robe en velours,extérieur,élasthanne,8%
100056,robe à épaulette,extérieur,coton,100%
100057,robe côtelée,extérieur,coton,96%
100057,robe côtelée,extérieur,élasthanne,4%
300000,mini jupe à rayures diplmate,extérieur,polyester,63%
300000,mini jupe à rayures diplmate,extérieur, viscose,33%
300000,mini jupe à rayures diplmate,extérieur,élasthanne,4%
300001,mini jupe à rayures diplmate,extérieur,polyester,63%
300001,mini jupe à rayures diplmate,extérieur, viscose,33%
300001,mini jupe à rayures diplmate,extérieur,élasthanne,4%
300002,mini jupe à rayures diplmate,extérieur,polyester,63%
300002,mini jupe à rayures diplmate,extérieur, viscose,33%
300002,mini jupe à rayures diplmate,extérieur,élasthanne,4%
300003,pantalon mini-jupe ,extérieur,polyester,90%
300003,pantalon mini-jupe ,extérieur,élasthanne,10%
300004,mini jupe à volants,extérieur,polyester,100%
300004,mini jupe à volants,doublure,polyester,100%
300009,short en jersey doux au toucher,extérieur,polyester,33%
300009,short en jersey doux au toucher,extérieur,polyamide,22%
300009,short en jersey doux au toucher,extérieur,acrylique,21%
300009,short en jersey doux au toucher,extérieur,laine,10%
300009,short en jersey doux au toucher,extérieur,chameau,10%
300009,short en jersey doux au toucher,extérieur,élasthanne,4%
300010,short peluche,extérieur,coton,100%
300012,short à boutons,extérieur,polyester,64%
300012,short à boutons,extérieur, viscose,34%
300012,short à boutons,extérieur,élasthanne,2%
300012,short à boutons,doublure,polyester,100%
300013,bermuda structuré,extérieur,coton,100%
300013,bermuda structuré,doublure,polyester,100%
300014,short à boutons,extérieur,polyester,64%
300014,short à boutons,extérieur, viscose,31%
300014,short à boutons,extérieur,élasthanne,5%
300014,short à boutons,doublure,polyester,100%
300015,jupe peluche,extérieur,coton,70%
300015,jupe peluche,extérieur,polyester,30%
300016,jupe peluche,extérieur,coton,70%
300016,jupe peluche,extérieur,polyester,30%
300017,jupe peluche,extérieur,coton,70%
300017,jupe peluche,extérieur,polyester,30%
300021,shorts en carreaux,extérieur,polyester,66%
300021,shorts en carreaux,extérieur, viscose,32%
300021,shorts en carreaux,extérieur,élasthanne,2%
300022,shorts droit,extérieur,polyester,77%
300022,shorts droit,extérieur, viscose,18%
300022,shorts droit,extérieur,élasthanne,5%
300023,jupe imprimée à nœud,extérieur, viscose,100%
300024,jupe plissée imprimée,extérieur,polyester,100%
300025,jupe plissée imprimée,extérieur,polyester,100%
300026,bermuda structuré,extérieur,coton,100%
300026,bermuda structuré,doublure,polyester,100%
300027,bermuda structuré,extérieur,coton,100%
300027,bermuda structuré,doublure,polyester,100%
300028,bermuda carreaux,extérieur,polyester,63%
300028,bermuda carreaux,extérieur, viscose,34%
300028,bermuda carreaux,extérieur,élasthanne,3%
300029,jupe en velours,extérieur,coton,100%
300030,jupe en jacquard,extérieur,polyester,78%
300030,jupe en jacquard,extérieur,polyamide,22%
300032,shorts en satin,extérieur,polyester,98%
300032,shorts en satin,extérieur,élasthanne,2%
300032,shorts en satin,doublure,polyester,100%
300034,shorts en satin,extérieur,polyester,98%
300034,shorts en satin,extérieur,élasthanne,2%
300034,shorts en satin,doublure,polyester,100%
300035,jupe pantalon,extérieur,polyester,77%
300035,jupe pantalon,extérieur, viscose,18%
300035,jupe pantalon,extérieur,élasthanne,5%
300036,jupe bermuda imprimé,extérieur, viscose,100%
300037,jupe bermuda imprimé,extérieur, viscose,100%
300038,jupe bermuda imprimé,extérieur, viscose,100%
300039,jupe bermuda imprimé,extérieur, viscose,100%
300040,jupe bermuda imprimé,extérieur, viscose,100%
300045,mini jupe d'ouverture,extérieur,polyester,100%
300046,mini jupe drapée,extérieur,polyester,50%
300046,mini jupe drapée,extérieur, viscose,30%
300046,mini jupe drapée,extérieur,laine,19%
300046,mini jupe drapée,extérieur,élasthanne,1%
300046,mini jupe drapée,doublure, viscose,100%
300047,mini jupe à volants,extérieur,polyester,100%
300047,mini jupe à volants,doublure,polyester,100%
300048,jupe en velours,extérieur, viscose,74%
300048,jupe en velours,extérieur,polyamide,26%
300049,mini jupe en velours à franges,extérieur,polyester,100%
300050,jupe midi imprimée,extérieur,cupro,100%
300051,jupe aux toucher doux,extérieur,polyester,68%
300051,jupe aux toucher doux,extérieur,coton,32%
300052,jupe imprimée,extérieur,polyester,100%
300052,jupe imprimée,doublure,polyester,100%
300053,jupe crayon avec coutures,extérieur,polyester,68%
300053,jupe crayon avec coutures,extérieur, viscose,28%
300053,jupe crayon avec coutures,extérieur,élasthanne,4%
300053,jupe crayon avec coutures,doublure,polyester,100%
300054,jupe plissée à carreaux,extérieur,polyester,76%
300054,jupe plissée à carreaux,extérieur, viscose,22%
300054,jupe plissée à carreaux,extérieur,élasthanne,2%
300057,mini jupe avec poche,extérieur,coton,100%
300059,jupe mini combinée,extérieur,acrylique,33%
300059,jupe mini combinée,extérieur,coton,30%
300059,jupe mini combinée,extérieur,polyester,25%
300059,jupe mini combinée,extérieur, viscose,12%
400000,corps perkins serge,extérieur,polyester,96%
400000,corps perkins serge,extérieur,élasthanne,4%
400001,corps perkins serge,extérieur,polyester,96%
400001,corps perkins serge,extérieur,élasthanne,4%
