reference,nom_article,partie_vetement,produits_coloration,matieres,etape,pourcentage_matieres
200000,chemise en popeline,extérieur,colorants au chrome,coton,Préparation de tissu,100
200001,chemise en popeline,extérieur,colorants au chrome,coton,Préparation de tissu,100
200002,blouse métallique hilo,extérieur,colorants acides, viscose, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants acides, viscose,Elimination,37
200002,blouse métallique hilo,extérieur,colorants acides, viscose,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants acides,fibre métallique, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants acides,fibre métallique,Elimination,37
200002,blouse métallique hilo,extérieur,colorants acides,fibre métallique,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants acides,élasthanne, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants acides,élasthanne,Elimination,37
200002,blouse métallique hilo,extérieur,colorants acides,élasthanne,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants metallifères, viscose, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants metallifères, viscose,Elimination,37
200002,blouse métallique hilo,extérieur,colorants metallifères, viscose,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants metallifères,fibre métallique, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants metallifères,fibre métallique,Elimination,37
200002,blouse métallique hilo,extérieur,colorants metallifères,fibre métallique,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants metallifères,élasthanne, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants metallifères,élasthanne,Elimination,37
200002,blouse métallique hilo,extérieur,colorants metallifères,élasthanne,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants azoïques, viscose, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants azoïques, viscose,Elimination,37
200002,blouse métallique hilo,extérieur,colorants azoïques, viscose,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants azoïques,fibre métallique, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants azoïques,fibre métallique,Elimination,37
200002,blouse métallique hilo,extérieur,colorants azoïques,fibre métallique,Preparation de fil,1
200002,blouse métallique hilo,extérieur,colorants azoïques,élasthanne, Production de fibres,62
200002,blouse métallique hilo,extérieur,colorants azoïques,élasthanne,Elimination,37
200002,blouse métallique hilo,extérieur,colorants azoïques,élasthanne,Preparation de fil,1
200003,blouse en satin alamares,extérieur,colorants acides, viscose, Production de fibres,100
200004,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200005,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200006,blouse imprimé velours,doublure,colorants dispersés,polyester,Teinture et finition,100
200007,blouse en satin imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200008,blouse à poche en lin,extérieur,colorants réactifs,lin,Distribution,100
200009,blouse à poche en lin,extérieur,colorants réactifs,lin,Distribution,100
200010,blouse à poche en lin,extérieur,colorants réactifs,lin,Distribution,100
200011,blouse en satin avec poches,extérieur,colorants acides, viscose, Production de fibres,100
200012,blouse en satin avec poches,extérieur,colorants acides, viscose, Production de fibres,100
200013,blouse en satin avec poches,extérieur,colorants acides, viscose, Production de fibres,100
200014,blouse en satin imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200015,blouse courte à nœud,extérieur,colorants acides, viscose, Production de fibres,100
200016,blouse courte à nœud,extérieur,colorants acides, viscose, Production de fibres,100
200017,chemise en popeline,extérieur,colorants au chrome,coton,Préparation de tissu,100
200018,chemise en popeline,extérieur,colorants au chrome,coton,Préparation de tissu,100
200019,blouse jacquard,extérieur,colorants acides, viscose, Production de fibres,52
200019,blouse jacquard,extérieur,colorants acides, viscose,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants acides, viscose,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants acides,polyester, Production de fibres,52
200019,blouse jacquard,extérieur,colorants acides,polyester,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants acides,polyester,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants acides,élasthanne, Production de fibres,52
200019,blouse jacquard,extérieur,colorants acides,élasthanne,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants acides,élasthanne,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants dispersés, viscose, Production de fibres,52
200019,blouse jacquard,extérieur,colorants dispersés, viscose,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants dispersés, viscose,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants dispersés,polyester, Production de fibres,52
200019,blouse jacquard,extérieur,colorants dispersés,polyester,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants dispersés,polyester,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants dispersés,élasthanne, Production de fibres,52
200019,blouse jacquard,extérieur,colorants dispersés,élasthanne,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants dispersés,élasthanne,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants azoïques, viscose, Production de fibres,52
200019,blouse jacquard,extérieur,colorants azoïques, viscose,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants azoïques, viscose,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants azoïques,polyester, Production de fibres,52
200019,blouse jacquard,extérieur,colorants azoïques,polyester,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants azoïques,polyester,Preparation de fil,6
200019,blouse jacquard,extérieur,colorants azoïques,élasthanne, Production de fibres,52
200019,blouse jacquard,extérieur,colorants azoïques,élasthanne,Teinture et finition,42
200019,blouse jacquard,extérieur,colorants azoïques,élasthanne,Preparation de fil,6
200020,blouse fluide à volants,extérieur,colorants dispersés,polyester,Teinture et finition,100
200021,chemise en popeline,extérieur,colorants au chrome,coton,Préparation de tissu,100
200022,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200023,blouse imprimé avec ceinture,extérieur,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,doublure,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,doublure,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,doublure,colorants dispersés,polyester,Teinture et finition,100
200024,blouse courte imprimé,doublure,colorants dispersés,polyester,Teinture et finition,100
200026,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200027,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200028,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200029,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200030,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200031,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200032,blouse longue imprimé animal,extérieur,colorants dispersés,polyester,Teinture et finition,100
200033,blouse fluide avec poches,extérieur,colorants réactifs,lyocell,Assemblée,97
200033,blouse fluide avec poches,extérieur,colorants réactifs,lyocell,Teinture et finition,3
200033,blouse fluide avec poches,extérieur,colorants réactifs,polyester,Assemblée,97
200033,blouse fluide avec poches,extérieur,colorants réactifs,polyester,Teinture et finition,3
200033,blouse fluide avec poches,extérieur,colorants dispersés,lyocell,Assemblée,97
200033,blouse fluide avec poches,extérieur,colorants dispersés,lyocell,Teinture et finition,3
200033,blouse fluide avec poches,extérieur,colorants dispersés,polyester,Assemblée,97
200033,blouse fluide avec poches,extérieur,colorants dispersés,polyester,Teinture et finition,3
200034,blouse longue bas doré,extérieur,colorants réactifs,lyocell,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants réactifs,lyocell,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants réactifs,lyocell,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants réactifs,polyamide,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants réactifs,polyamide,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants réactifs,polyamide,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants réactifs,élasthanne,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants réactifs,élasthanne,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants réactifs,élasthanne,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants acides,lyocell,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants acides,lyocell,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants acides,lyocell,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants acides,polyamide,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants acides,polyamide,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants acides,polyamide,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants acides,élasthanne,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants acides,élasthanne,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants acides,élasthanne,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants azoïques,lyocell,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants azoïques,lyocell,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants azoïques,lyocell,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants azoïques,polyamide,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants azoïques,polyamide,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants azoïques,polyamide,Preparation de fil,3
200034,blouse longue bas doré,extérieur,colorants azoïques,élasthanne,Assemblée,79
200034,blouse longue bas doré,extérieur,colorants azoïques,élasthanne,Assemblée,18
200034,blouse longue bas doré,extérieur,colorants azoïques,élasthanne,Preparation de fil,3
200035,blouse satin nœud,extérieur,colorants acides, viscose, Production de fibres,100
200037,blouse nœud,extérieur,colorants dispersés,polyester,Teinture et finition,100
200039,blouse à pois,extérieur,colorants réactifs,lyocell,Assemblée,74
200039,blouse à pois,extérieur,colorants réactifs,lyocell,Distribution,26
200039,blouse à pois,extérieur,colorants réactifs,nylon,Assemblée,74
200039,blouse à pois,extérieur,colorants réactifs,nylon,Distribution,26
200039,blouse à pois,extérieur,colorants dispersés,lyocell,Assemblée,74
200039,blouse à pois,extérieur,colorants dispersés,lyocell,Distribution,26
200039,blouse à pois,extérieur,colorants dispersés,nylon,Assemblée,74
200039,blouse à pois,extérieur,colorants dispersés,nylon,Distribution,26
200040,corps à manches drappées,extérieur,colorants dispersés,polyester,Teinture et finition,100
200041,blouse courte à nœud,extérieur,colorants acides, viscose, Production de fibres,100
200042,blouse à nœud imprimé ,extérieur,colorants dispersés,polyester,Teinture et finition,97
200042,blouse à nœud imprimé ,extérieur,colorants dispersés,polyester,Preparation de fil,3
200042,blouse à nœud imprimé ,extérieur,colorants dispersés,élasthanne,Teinture et finition,97
200042,blouse à nœud imprimé ,extérieur,colorants dispersés,élasthanne,Preparation de fil,3
200042,blouse à nœud imprimé ,extérieur,colorants azoïques,polyester,Teinture et finition,97
200042,blouse à nœud imprimé ,extérieur,colorants azoïques,polyester,Preparation de fil,3
200042,blouse à nœud imprimé ,extérieur,colorants azoïques,élasthanne,Teinture et finition,97
200042,blouse à nœud imprimé ,extérieur,colorants azoïques,élasthanne,Preparation de fil,3
200043,chemise satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
200044,blouse longue imprimé animal,extérieur,colorants dispersés,polyester,Teinture et finition,100
200045,blouse jacquard volants,extérieur,colorants acides, viscose, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants acides, viscose,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants acides, viscose,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants acides,polyester, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants acides,polyester,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants acides,polyester,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants acides,élasthanne, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants acides,élasthanne,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants acides,élasthanne,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants dispersés, viscose, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants dispersés, viscose,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants dispersés, viscose,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants dispersés,polyester, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants dispersés,polyester,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants dispersés,polyester,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants dispersés,élasthanne, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants dispersés,élasthanne,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants dispersés,élasthanne,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants azoïques, viscose, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants azoïques, viscose,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants azoïques, viscose,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants azoïques,polyester, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants azoïques,polyester,Teinture et finition,40
200045,blouse jacquard volants,extérieur,colorants azoïques,polyester,Preparation de fil,5
200045,blouse jacquard volants,extérieur,colorants azoïques,élasthanne, Production de fibres,55
200045,blouse jacquard volants,extérieur,colorants azoïques,élasthanne,Teinture et finition,40
